"","CustomerID","InvoiceDate","Quantity","UnitPrice","Total"
"1",13313,2022-01-04,10,1.95,19.5
"2",13313,2022-01-04,25,0.42,10.5
"3",13313,2022-01-04,25,0.42,10.5
"4",13313,2022-01-04,5,2.1,10.5
"5",13313,2022-01-04,10,1.25,12.5
"6",13313,2022-01-04,10,1.95,19.5
"7",13313,2022-01-04,6,3.25,19.5
"8",13313,2022-01-04,12,1.45,17.4
"9",13313,2022-01-04,6,2.95,17.7
"10",13313,2022-01-04,8,1.95,15.6
"11",13313,2022-01-04,6,2.55,15.3
"12",13313,2022-01-04,6,2.55,15.3
"13",13313,2022-01-04,6,2.55,15.3
"14",13313,2022-01-04,12,2.95,35.4
"15",13313,2022-01-04,12,2.95,35.4
"16",13313,2022-01-04,8,2.55,20.4
"17",13313,2022-01-04,4,4.25,17
"18",18097,2022-01-04,32,2.55,81.6
"19",18097,2022-01-04,24,2.95,70.8
"20",18097,2022-01-04,6,9.95,59.7
"21",18097,2022-01-04,48,0.42,20.16
"22",18097,2022-01-04,16,3.39,54.24
"23",18097,2022-01-04,12,4.25,51
"24",18097,2022-01-04,60,1.45,87
"25",18097,2022-01-04,48,0.42,20.16
"26",18097,2022-01-04,24,1.25,30
"27",13094,2022-01-04,72,1.06,76.32
"28",16282,2022-01-04,8,4.25,34
"29",16282,2022-01-04,1,7.95,7.95
"30",16282,2022-01-04,1,4.95,4.95
"31",16282,2022-01-04,2,2.95,5.9
"32",16282,2022-01-04,36,0.85,30.6
"33",16282,2022-01-04,10,2.95,29.5
"34",16282,2022-01-04,6,2.95,17.7
"35",16282,2022-01-04,6,0.85,5.1
"36",16282,2022-01-04,8,0.85,6.8
"37",16282,2022-01-04,24,0.65,15.6
"38",16282,2022-01-04,12,0.85,10.2
"39",13963,2022-01-04,12,1.95,23.4
"40",13963,2022-01-04,24,0.85,20.4
"41",13963,2022-01-04,24,0.21,5.04
"42",13963,2022-01-04,8,1.95,15.6
"43",13963,2022-01-04,8,1.25,10
"44",13963,2022-01-04,24,0.85,20.4
"45",13963,2022-01-04,24,1.25,30
"46",13963,2022-01-04,24,1.25,30
"47",13963,2022-01-04,72,0.21,15.12
"48",13963,2022-01-04,2,7.95,15.9
"49",13963,2022-01-04,20,0.42,8.4
"50",13963,2022-01-04,20,0.42,8.4
"51",13963,2022-01-04,3,4.25,12.75
"52",17188,2022-01-04,36,0.42,15.12
"53",17188,2022-01-04,8,1.25,10
"54",17188,2022-01-04,16,10.95,175.2
"55",17188,2022-01-04,12,2.95,35.4
"56",17188,2022-01-04,24,1.65,39.6
"57",17188,2022-01-04,12,2.95,35.4
"58",17188,2022-01-04,12,1.25,15
"59",17188,2022-01-04,50,0.42,21
