"Data","Targa","Velocita","Limite","Multa"
2024-01-01,"OS758PB",83,90,0
2024-01-02,"SN534DU",42,130,0
2024-01-03,"NK520WJ",114,70,370
2024-01-04,"CM583CE",130,50,500
2024-01-05,"JW217HZ",104,90,148
2024-01-06,"RR762RW",47,110,0
2024-01-07,"VA306IO",110,50,370
2024-01-08,"KX458WU",107,110,0
2024-01-09,"EN265UH",71,130,0
2024-01-10,"TQ861LY",63,70,0
2024-01-11,"NE664BD",103,130,0
2024-01-12,"VW505HP",123,50,500
2024-01-13,"YB905SW",112,130,0
2024-01-14,"ZV753AN",45,90,0
2024-01-15,"EX794TX",103,50,370
2024-01-16,"SL596JX",125,110,148
2024-01-17,"YZ003JK",45,110,0
2024-01-18,"YS364TR",72,50,148
2024-01-19,"IU063CS",56,130,0
2024-01-20,"CY445ZU",67,50,148
2024-01-21,"HH984XP",46,50,0
2024-01-22,"ZU980LC",132,90,370
2024-01-23,"GF916NR",113,70,370
2024-01-24,"JW644QP",59,50,36
2024-01-25,"IN327LT",72,90,0
2024-01-26,"SA624KB",121,110,148
2024-01-27,"DQ447JU",134,70,500
2024-01-28,"NJ835TK",119,90,148
2024-01-29,"QI831RD",109,50,370
2024-01-30,"KH758CA",67,90,0
2024-01-31,"GJ938ED",61,110,0
2024-02-01,"US947GH",83,110,0
2024-02-02,"LB430MG",83,50,148
2024-02-03,"OS561MJ",118,110,36
2024-02-04,"JG278WV",120,70,370
2024-02-05,"MF049ME",71,90,0
2024-02-06,"GB526XA",46,90,0
2024-02-07,"IG091HK",141,50,500
2024-02-08,"IA904TM",82,50,148
2024-02-09,"JJ088VG",101,50,370
2024-02-10,"WP427MG",111,130,0
2024-02-11,"UH919DM",104,70,148
2024-02-12,"GF324SO",132,130,36
2024-02-13,"UJ580PK",139,50,500
2024-02-14,"FK129DV",54,90,0
2024-02-15,"YO217PQ",70,70,0
2024-02-16,"BV644HB",96,90,36
2024-02-17,"ER475GU",128,70,370
2024-02-18,"HM943YK",117,70,370
2024-02-19,"LJ624BU",146,50,500
2024-02-20,"MS274QT",76,110,0
2024-02-21,"RB947TQ",120,50,500
2024-02-22,"AC679CA",43,130,0
2024-02-23,"YW218JV",102,50,370
2024-02-24,"YV956UV",139,50,500
2024-02-25,"FU662LA",138,70,500
2024-02-26,"UQ168EO",107,50,370
2024-02-27,"OI150IY",70,110,0
2024-02-28,"ID055MB",125,50,500
2024-02-29,"OE081BQ",77,70,36
2024-03-01,"ZR903QU",50,110,0
2024-03-02,"PN974SR",74,110,0
2024-03-03,"TL231MN",91,50,370
2024-03-04,"FR310UH",103,90,148
2024-03-05,"KR659QI",66,110,0
2024-03-06,"HA156US",91,130,0
2024-03-07,"VW232NV",144,70,500
2024-03-08,"VL018UN",91,70,148
2024-03-09,"GO931RU",46,50,0
2024-03-10,"PI519DJ",144,90,370
2024-03-11,"QG660JM",46,110,0
2024-03-12,"VQ294GJ",147,70,500
2024-03-13,"RG858LF",114,90,148
2024-03-14,"QY751UV",43,90,0
2024-03-15,"BS084RG",98,130,0
2024-03-16,"DP751YB",59,130,0
2024-03-17,"MA799YP",50,90,0
2024-03-18,"EQ956BZ",99,70,148
2024-03-19,"VR615HP",114,90,148
2024-03-20,"SM268ZO",45,90,0
2024-03-21,"YR421JL",91,50,370
2024-03-22,"TS347YF",145,110,148
2024-03-23,"VF273HP",143,50,500
2024-03-24,"YE677ZI",79,50,148
2024-03-25,"NW324IA",122,50,500
2024-03-26,"YW896QS",81,110,0
2024-03-27,"WU635UH",65,90,0
2024-03-28,"CR401QU",86,110,0
2024-03-29,"HU927YA",108,70,148
2024-03-30,"PH288RI",46,130,0
2024-03-31,"LN252AX",104,130,0
2024-04-01,"YE004TE",110,110,0
2024-04-02,"NY912VL",66,110,0
2024-04-03,"CN000YU",48,110,0
2024-04-04,"NZ785BW",113,70,370
2024-04-05,"GO434ZK",67,50,148
2024-04-06,"CT682OS",113,110,36
2024-04-07,"WY059CO",51,90,0
2024-04-08,"VZ894NY",95,110,0
2024-04-09,"ZY860WI",126,70,370
2024-04-10,"ON292MW",149,50,500
2024-04-11,"UR391SH",135,90,370
2024-04-12,"EF633GD",122,130,0
2024-04-13,"HS008KA",149,70,500
2024-04-14,"SL187RB",143,110,148
2024-04-15,"JV482UX",102,70,148
2024-04-16,"RA511CM",140,70,500
2024-04-17,"JM941GT",78,110,0
2024-04-18,"LG148QW",51,50,36
2024-04-19,"BC453KS",72,130,0
2024-04-20,"JA976LF",131,90,370
2024-04-21,"VN091OC",147,90,370
2024-04-22,"LN529AC",97,90,36
2024-04-23,"TR116KJ",51,70,0
2024-04-24,"NP612GR",65,130,0
2024-04-25,"QA058PU",85,50,148
2024-04-26,"ND736VN",83,50,148
2024-04-27,"VK002YQ",73,90,0
2024-04-28,"CZ405RP",146,130,148
2024-04-29,"HM858FF",109,50,370
2024-04-30,"NB691PP",144,70,500
2024-05-01,"SH640XC",85,110,0
2024-05-02,"OP467FU",45,50,0
2024-05-03,"XT181MB",43,90,0
2024-05-04,"QE191UV",47,50,0
2024-05-05,"WL219GU",66,90,0
2024-05-06,"KF075JT",51,70,0
2024-05-07,"GE937HU",127,90,148
2024-05-08,"OD721VW",51,70,0
2024-05-09,"WP406DR",52,130,0
2024-05-10,"ZU105RF",51,70,0
2024-05-11,"FW719TD",48,70,0
2024-05-12,"NP493DX",144,110,148
