"CustomerID","OrderID","OrderDate","Age","Gender","Membership","ProductCategory","ProductName","UnitPrice","Quantity","TotalAmount","PaymentMethod","City","ReturnStatus"
1,1001,2024-05-30,NA,"M","Silver","Casa","Tappeto",13,3,39,"PayPal","Torino",1
2,1002,2024-12-12,30,"M","Basic","Libri","Fumetto",23,3,69,"PayPal","Milano",0
3,1003,2024-05-12,43,"F","Basic","Abbigliamento","Scarpe",24,2,48,"BankTransfer","Napoli",1
4,1004,2024-11-11,47,"F","Silver","Casa","Tappeto",138,1,138,"CreditCard","Roma",0
5,1005,2024-01-13,44,"M","Basic","Elettronica","Cuffie",630,1,630,"PayPal","Milano",0
6,1006,2024-05-13,NA,"F","Silver","Libri","Enciclopedia",20,1,20,"PayPal","Napoli",0
7,1007,2024-10-15,61,"M","Silver","Sport","Borraccia",89,3,267,"CreditCard","Bologna",0
8,1008,2024-08-26,37,"F","Silver","Abbigliamento","Giacca",130,1,130,"Cash","Napoli",0
9,1009,2024-04-15,68,"M","Basic","Sport","Manubri",75,5,375,"CreditCard","Torino",0
10,1010,2024-06-16,37,"M","Basic","Libri","Enciclopedia",22,2,44,"Cash","Roma",0
11,1011,2024-09-06,58,"M","Silver","Elettronica","Tablet",99,4,396,"Cash","Roma",1
12,1012,2024-04-09,72,"M","Gold","Sport","Tappetino Yoga",167,2,334,"Cash","Napoli",0
13,1013,2024-09-01,18,"M","Silver","Elettronica","Smartphone",574,1,574,"BankTransfer","Roma",0
14,1014,2024-09-20,34,"F","Silver","Sport","Manubri",151,2,302,"PayPal","Napoli",0
15,1015,2024-08-27,36,"F","Gold","Libri","Manuale",21,4,84,"CreditCard","Bologna",1
16,1016,2024-09-28,NA,"M","Silver","Elettronica","Smartwatch",451,3,1353,"PayPal","Bologna",0
17,1017,2024-03-16,34,"M","Basic","Sport","Scarpe Running",157,3,471,"Cash","Napoli",1
18,1018,2024-11-24,18,"M","Basic","Casa","Lampada",44,1,44,"CreditCard","Roma",0
19,1019,2024-09-03,NA,"M","Gold","Casa","Cuscino",86,4,344,"Cash","Torino",1
20,1020,2024-07-12,58,"M","Silver","Casa","Coperta",25,2,50,"Cash","Roma",0
21,1021,2024-08-16,33,"F","Basic","Sport","Tappetino Yoga",102,4,408,"PayPal","Napoli",0
22,1022,2024-03-06,18,"M","Basic","Abbigliamento","Jeans",176,1,176,"CreditCard","Napoli",1
23,1023,2024-06-19,35,"M","Basic","Sport","Scarpe Running",66,2,132,"CreditCard","Torino",0
24,1024,2024-02-13,56,"M","Basic","Elettronica","Laptop",110,2,220,"PayPal","Roma",0
25,1025,2024-01-06,66,"M","Gold","Casa","Coperta",14,1,14,"CreditCard","Torino",0
26,1026,2024-12-18,32,"F","Silver","Elettronica","Laptop",278,2,556,"CreditCard","Roma",0
27,1027,2024-05-16,34,"F","Basic","Abbigliamento","Giacca",160,1,160,"PayPal","Torino",0
28,1028,2024-03-30,18,"F","Basic","Casa","Tappeto",97,2,194,"Cash","Milano",0
29,1029,2024-07-30,45,"F","Gold","Casa","Lampada",64,3,192,"BankTransfer","Milano",0
30,1030,2024-10-25,28,"F","Basic","Casa","Tappeto",24,2,48,"Cash","Milano",0
31,1031,2024-09-22,45,"M","Basic","Casa","Pentola",61,1,61,"CreditCard","Torino",1
32,1032,2024-06-16,49,"M","Basic","Sport","Tappetino Yoga",170,3,510,"BankTransfer","Torino",0
33,1033,2024-12-06,54,"F","Gold","Libri","Enciclopedia",31,3,93,"PayPal","Bologna",0
34,1034,2024-02-22,29,"M","Basic","Libri","Fumetto",40,1,40,"CreditCard","Milano",0
35,1035,2024-02-09,46,"M","Silver","Abbigliamento","Scarpe",24,5,120,"PayPal","Napoli",1
36,1036,2024-04-06,NA,"F","Basic","Elettronica","Laptop",232,2,464,"BankTransfer","Torino",0
37,1037,2024-03-29,26,"M","Basic","Libri","Guida",29,3,87,"PayPal","Milano",0
38,1038,2024-07-02,25,"F","Basic","Casa","Cuscino",14,2,28,"Cash","Roma",1
39,1039,2024-07-23,18,"F","Silver","Casa","Pentola",102,1,102,"Cash","Napoli",0
40,1040,2024-04-06,NA,"M","Silver","Sport","Borraccia",27,1,27,"CreditCard","Milano",0
41,1041,2024-02-20,NA,"M","Silver","Libri","Guida",48,1,48,"PayPal","Roma",0
42,1042,2024-05-31,33,"M","Basic","Sport","Pallone",156,2,312,"PayPal","Napoli",0
43,1043,2024-12-23,49,"F","Basic","Libri","Enciclopedia",8,2,16,"CreditCard","Bologna",1
44,1044,2024-08-14,27,"M","Basic","Abbigliamento","Maglione",105,2,210,"PayPal","Roma",0
45,1045,2024-07-31,18,"F","Gold","Libri","Fumetto",48,2,96,"CreditCard","Napoli",1
46,1046,2024-11-11,NA,"M","Silver","Casa","Coperta",94,1,94,"CreditCard","Milano",1
47,1047,2024-06-22,26,"F","Silver","Libri","Manuale",44,5,220,"BankTransfer","Roma",0
48,1048,2024-09-16,60,"F","Silver","Elettronica","Laptop",149,1,149,"PayPal","Milano",0
49,1049,2024-07-10,32,"F","Silver","Libri","Manuale",38,1,38,"Cash","Napoli",0
50,1050,2024-03-23,48,"M","Silver","Libri","Guida",49,1,49,"Cash","Torino",0
51,1051,2024-03-23,43,"F","Basic","Sport","Manubri",151,2,302,"CreditCard","Milano",1
52,1052,2024-12-31,26,"F","Basic","Elettronica","Tablet",73,5,365,"CreditCard","Torino",0
53,1053,2024-06-30,62,"M","Silver","Libri","Romanzo",36,1,36,"CreditCard","Roma",0
54,1054,2024-12-19,48,"M","Basic","Casa","Pentola",121,2,242,"BankTransfer","Bologna",0
55,1055,2024-12-10,NA,"M","Gold","Casa","Pentola",10,2,20,"CreditCard","Bologna",0
56,1056,2024-01-18,NA,"F","Basic","Libri","Enciclopedia",36,1,36,"CreditCard","Napoli",0
57,1057,2024-03-08,NA,"F","Basic","Elettronica","Cuffie",494,1,494,"PayPal","Roma",0
58,1058,2024-10-31,39,"F","Basic","Abbigliamento","Jeans",165,1,165,"PayPal","Napoli",1
59,1059,2024-05-20,18,"M","Silver","Libri","Romanzo",46,1,46,"PayPal","Milano",0
60,1060,2024-02-22,42,"M","Basic","Abbigliamento","T-shirt",23,2,46,"BankTransfer","Bologna",1
61,1061,2024-12-18,32,"F","Basic","Elettronica","Smartwatch",248,1,248,"Cash","Torino",1
