"","gender","total_children","education","member_card","occupation","houseowner","avg_cars_at.home.approx.","avg..yearly_income","num_children_at_home","promotion_name","media_type","spesa_totale"
"1","F",2,"High School Degree","Bronze","Manual","Y",2,"$30K - $50K",2,"Cash Register Lottery","In-Store Coupon",1951.9836992231
"2","F",4,"High School Degree","Bronze","Skilled Manual","N",2,"$30K - $50K",0,"Cash Register Lottery","In-Store Coupon",2882.86023180077
"3","F",3,"Partial High School","Normal","Skilled Manual","N",1,"$10K - $30K",3,"Weekend Markdown","In-Store Coupon",2046.81733928378
"4","M",5,"High School Degree","Golden","Manual","N",3,"$30K - $50K",5,"Weekend Markdown","In-Store Coupon",2522.4746257244
"5","M",1,"Partial High School","Normal","Skilled Manual","N",0,"$10K - $30K",0,"Free For All","In-Store Coupon",2455.22663246076
"6","M",2,"Partial High School","Normal","Manual","Y",0,"$10K - $30K",2,"Double Down Sale","TV",1243.47082039289
"7","F",1,"Graduate Degree","Silver","Professional","Y",3,"$150K +",0,"Double Down Sale","TV",1291.43855933759
"8","M",2,"Partial College","Bronze","Manual","N",2,"$30K - $50K",0,"Unbeatable Price Savers","Bulk Mail",746.633579263737
"9","M",4,"Bachelors Degree","Bronze","Professional","Y",3,"$50K - $70K",0,"Big Time Savings","In-Store Coupon",3193.64667788434
"10","M",0,"Partial High School","Normal","Skilled Manual","Y",2,"$10K - $30K",0,"Unbeatable Price Savers","Bulk Mail",997.987714843781
"11","M",4,"High School Degree","Golden","Skilled Manual","Y",3,"$30K - $50K",4,"Sales Days","Bulk Mail",825.936981695791
"12","F",1,"High School Degree","Silver","Management","Y",4,"$150K +",0,"Shelf Emptiers","Bulk Mail",781.106448622768
"13","F",4,"High School Degree","Golden","Skilled Manual","Y",3,"$30K - $50K",3,"Sales Galore","Bulk Mail",727.400572318586
"14","F",2,"High School Degree","Bronze","Management","N",3,"$110K - $130K",2,"You Save Days","TV",1602.40453016743
"15","M",2,"Partial College","Bronze","Skilled Manual","N",1,"$30K - $50K",0,"High Roller Savings","TV",1349.10306504678
"16","F",2,"Bachelors Degree","Bronze","Professional","Y",3,"$70K - $90K",0,"Big Time Discounts","In-Store Coupon",2416.57431109618
"17","F",4,"High School Degree","Bronze","Manual","Y",4,"$30K - $50K",4,"Super Savers","TV",1372.38874756325
"18","F",2,"Partial High School","Normal","Manual","Y",2,"$10K - $30K",0,"Wallet Savers","TV",1817.44516609505
"19","F",2,"Partial High School","Normal","Manual","Y",2,"$10K - $30K",0,"Wallet Savers","TV",1174.80539450889
"20","M",1,"Partial High School","Bronze","Skilled Manual","Y",0,"$10K - $30K",1,"Three for One","In-Store Coupon",2238.70231151769
"21","M",0,"High School Degree","Golden","Skilled Manual","Y",2,"$30K - $50K",0,"Sale Winners","In-Store Coupon",1747.20527716769
"22","M",5,"Partial College","Bronze","Clerical","Y",3,"$30K - $50K",0,"Go For It","Bulk Mail",503.129784648993
"23","M",2,"High School Degree","Golden","Skilled Manual","N",2,"$30K - $50K",0,"Go For It","Bulk Mail",695.255896592766
"24","M",1,"High School Degree","Silver","Manual","N",2,"$30K - $50K",1,"Coupon Spectacular","In-Store Coupon",1809.98516453617
"25","F",2,"Bachelors Degree","Bronze","Professional","N",2,"$70K - $90K",0,"Price Destroyers","Bulk Mail",826.350306936632
"26","F",4,"Partial College","Golden","Professional","N",3,"$30K - $50K",0,"Save-It Sale","In-Store Coupon",2329.97202067368
"27","M",2,"Bachelors Degree","Normal","Management","Y",0,"$10K - $30K",0,"Shelf Clearing Days","In-Store Coupon",3034.40022751426
"28","F",4,"High School Degree","Golden","Management","Y",2,"$70K - $90K",0,"Green Light Special","In-Store Coupon",1701.28920866185
"29","F",2,"High School Degree","Bronze","Manual","N",1,"$30K - $50K",0,"Green Light Special","In-Store Coupon",2667.31351890769
"30","M",2,"High School Degree","Bronze","Manual","N",2,"$30K - $50K",0,"Shelf Clearing Days","In-Store Coupon",3487.2356976289
"31","F",4,"Partial High School","Bronze","Skilled Manual","N",1,"$10K - $30K",0,"Sale Winners","Bulk Mail",578.871005214509
"32","F",2,"High School Degree","Bronze","Manual","N",4,"$30K - $50K",0,"Shelf Clearing Days","TV",995.988657767019
"33","F",4,"Bachelors Degree","Silver","Professional","Y",3,"$70K - $90K",3,"Dimes Off","Bulk Mail",970.58532569643
"34","M",2,"Bachelors Degree","Silver","Professional","Y",1,"$50K - $70K",2,"Savings Galore","In-Store Coupon",2559.98832583186
"35","F",4,"High School Degree","Bronze","Skilled Manual","N",2,"$30K - $50K",0,"Cash Register Lottery","In-Store Coupon",1631.48792265873
"36","F",4,"Bachelors Degree","Bronze","Professional","Y",1,"$30K - $50K",1,"Free For All","In-Store Coupon",2623.55781596766
"37","M",0,"Partial High School","Bronze","Management","Y",4,"$90K - $110K",0,"Double Down Sale","TV",679.326070603708
"38","M",3,"Bachelors Degree","Bronze","Professional","Y",3,"$90K - $110K",1,"Double Down Sale","TV",960.852809967547
"39","M",3,"High School Degree","Normal","Professional","Y",3,"$130K - $150K",0,"Double Down Sale","TV",1838.12920406642
"40","F",2,"Bachelors Degree","Bronze","Professional","Y",3,"$30K - $50K",0,"Double Down Sale","TV",1648.65373302162
"41","F",2,"Partial College","Bronze","Management","N",3,"$30K - $50K",0,"Double Down Sale","TV",1325.78002263645
