"","CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Credit_Limit","Contacts_Count_12_mon","Total_Trans_Amt","Total_Trans_Ct"
"1",768805383,"Existing Customer",45,"M","High School","Married","$60K - $80K","Blue",39,12691,3,1144,42
"2",818770008,"Existing Customer",49,"F","Graduate","Single","Less than $40K","Blue",44,8256,2,1291,33
"3",713982108,"Existing Customer",51,"M","Graduate","Married","$80K - $120K","Blue",36,3418,0,1887,20
"4",769911858,"Existing Customer",40,"F","High School","Unknown","Less than $40K","Blue",34,3313,1,1171,20
"5",709106358,"Existing Customer",40,"M","Uneducated","Married","$60K - $80K","Blue",21,4716,0,816,28
"6",713061558,"Existing Customer",44,"M","Graduate","Married","$40K - $60K","Blue",36,4010,2,1088,24
"7",810347208,"Existing Customer",51,"M","Unknown","Married","$120K +","Gold",46,34516,3,1330,31
"8",818906208,"Existing Customer",32,"M","High School","Unknown","$60K - $80K","Silver",27,29081,2,1538,36
"9",710930508,"Existing Customer",37,"M","Uneducated","Single","$60K - $80K","Blue",36,22352,0,1350,24
"10",719661558,"Existing Customer",48,"M","Graduate","Single","$80K - $120K","Blue",36,11656,3,1441,32
"11",708790833,"Existing Customer",42,"M","Uneducated","Unknown","$120K +","Blue",31,6748,2,1201,42
"12",710821833,"Existing Customer",65,"M","Unknown","Married","$40K - $60K","Blue",54,9095,3,1314,26
"13",710599683,"Existing Customer",56,"M","College","Single","$80K - $120K","Blue",36,11751,0,1539,17
"14",816082233,"Existing Customer",35,"M","Graduate","Unknown","$60K - $80K","Blue",30,8547,3,1311,33
"15",712396908,"Existing Customer",57,"F","Graduate","Married","Less than $40K","Blue",48,2436,2,1570,29
"16",714885258,"Existing Customer",44,"M","Unknown","Unknown","$80K - $120K","Blue",37,4234,2,1348,27
"17",709967358,"Existing Customer",48,"M","Post-Graduate","Single","$80K - $120K","Blue",36,30367,3,1671,27
"18",753327333,"Existing Customer",41,"M","Unknown","Married","$80K - $120K","Blue",34,13535,1,1028,21
"19",806160108,"Existing Customer",61,"M","High School","Married","$40K - $60K","Blue",56,3193,3,1336,30
"20",709327383,"Existing Customer",45,"F","Graduate","Married","Unknown","Blue",37,14470,2,1207,21
"21",806165208,"Existing Customer",47,"M","Doctorate","Divorced","$60K - $80K","Blue",42,20979,0,1178,27
"22",708508758,"Attrited Customer",62,"F","Graduate","Married","Less than $40K","Blue",49,1438.3,3,692,16
"23",784725333,"Existing Customer",41,"M","High School","Married","$40K - $60K","Blue",33,4470,1,931,18
"24",811604133,"Existing Customer",47,"F","Unknown","Single","Less than $40K","Blue",36,2492,2,1126,23
"25",789124683,"Existing Customer",54,"M","Unknown","Married","$80K - $120K","Blue",42,12217,3,1110,21
"26",771071958,"Existing Customer",41,"F","Graduate","Single","Less than $40K","Blue",28,7768,2,1051,22
"27",720466383,"Existing Customer",59,"M","High School","Unknown","$40K - $60K","Blue",46,14784,2,1197,23
"28",804424383,"Existing Customer",63,"M","Unknown","Married","$60K - $80K","Blue",56,10215,2,1904,40
"29",718813833,"Existing Customer",44,"F","Uneducated","Single","Unknown","Blue",34,10100,2,1052,18
"30",806624208,"Existing Customer",47,"M","High School","Married","$40K - $60K","Blue",42,4785,0,1045,38
"31",778348233,"Existing Customer",53,"M","Unknown","Married","$80K - $120K","Blue",33,2753,3,1038,25
"32",712991808,"Existing Customer",53,"M","Uneducated","Married","$60K - $80K","Blue",48,2451,1,1596,26
"33",709029408,"Existing Customer",41,"M","Graduate","Married","$60K - $80K","Blue",36,8923,2,1589,24
"34",788658483,"Existing Customer",53,"F","College","Married","Less than $40K","Blue",38,2650,3,1411,28
"35",787937058,"Existing Customer",58,"M","Graduate","Married","$80K - $120K","Blue",49,12555,2,1291,24
"36",715318008,"Existing Customer",55,"F","College","Single","Less than $40K","Blue",36,3520,1,1407,43
"37",713962233,"Existing Customer",55,"F","Graduate","Married","Less than $40K","Blue",36,3035,3,1877,37
"38",785432733,"Existing Customer",42,"F","High School","Married","Less than $40K","Gold",36,15433,3,966,22
"39",715190283,"Existing Customer",57,"F","Graduate","Unknown","$40K - $60K","Blue",49,3672,2,1464,28
"40",708300483,"Attrited Customer",66,"F","Doctorate","Married","Unknown","Blue",56,7882,3,704,16
"41",827111283,"Existing Customer",45,"M","Graduate","Single","$80K - $120K","Blue",41,32426,2,1109,28
"42",758551608,"Existing Customer",51,"M","Unknown","Married","$40K - $60K","Blue",44,6205,0,1347,28
"43",773146383,"Existing Customer",50,"F","College","Single","$40K - $60K","Silver",43,17304,3,1756,33
"44",778493808,"Existing Customer",49,"M","High School","Married","$60K - $80K","Blue",37,3906,1,1756,32
"45",720572508,"Existing Customer",38,"F","Graduate","Single","Unknown","Blue",28,9830,3,1042,23
"46",712661433,"Existing Customer",49,"M","Uneducated","Single","$80K - $120K","Blue",30,34516,3,1444,28
"47",789172683,"Existing Customer",56,"M","Doctorate","Married","$60K - $80K","Blue",45,2283,0,1741,27
"48",738406533,"Existing Customer",59,"M","Doctorate","Married","$40K - $60K","Blue",52,2548,2,1719,27
"49",799723908,"Existing Customer",46,"M","High School","Married","$80K - $120K","Blue",40,19458,3,1217,27
"50",771490833,"Existing Customer",52,"M","College","Single","$80K - $120K","Blue",40,4745,1,1140,40
"51",720756708,"Existing Customer",52,"F","Unknown","Married","Less than $40K","Blue",41,2622,2,1878,30
"52",779471883,"Attrited Customer",54,"F","Graduate","Married","Less than $40K","Blue",40,1438.3,1,705,19
"53",711525033,"Existing Customer",66,"F","High School","Married","Less than $40K","Blue",54,3171,2,1946,38
"54",712813458,"Existing Customer",49,"M","Unknown","Married","$120K +","Blue",36,19763,0,1414,35
"55",714374133,"Attrited Customer",56,"M","Graduate","Married","$120K +","Blue",36,15769,3,602,15
"56",717891558,"Existing Customer",49,"F","Graduate","Unknown","Less than $40K","Blue",36,3298,2,1052,32
"57",716632758,"Existing Customer",49,"F","Graduate","Single","Less than $40K","Blue",36,2802,0,1295,40
"58",768563658,"Existing Customer",56,"M","Uneducated","Married","$40K - $60K","Blue",50,4458,3,1424,29
"59",711427458,"Existing Customer",44,"F","Graduate","Married","Unknown","Blue",35,6273,2,1359,25
"60",714091983,"Existing Customer",42,"M","High School","Single","$60K - $80K","Blue",34,3336,3,1168,27
"61",787584108,"Existing Customer",55,"M","Unknown","Married","$80K - $120K","Blue",47,3436,3,1097,33
"62",712030833,"Attrited Customer",48,"M","Graduate","Married","$60K - $80K","Silver",35,34516,4,691,15
"63",711481533,"Existing Customer",39,"M","High School","Divorced","$60K - $80K","Blue",33,5926,3,1316,28
"64",710082708,"Existing Customer",44,"M","Post-Graduate","Single","$120K +","Blue",32,23957,2,1276,26
"65",708155733,"Existing Customer",53,"M","High School","Single","$120K +","Blue",44,14734,2,1289,23
"66",788979258,"Existing Customer",51,"M","Uneducated","Single","$80K - $120K","Silver",38,34516,4,1293,32
"67",807986133,"Existing Customer",57,"M","College","Married","$60K - $80K","Blue",52,6584,3,1353,35
"68",788730933,"Existing Customer",44,"F","Uneducated","Single","Less than $40K","Blue",20,2084,3,1132,28
"69",711314058,"Existing Customer",49,"M","Graduate","Married","$60K - $80K","Blue",32,1687,2,1670,17
"70",717975333,"Existing Customer",50,"M","Doctorate","Married","$80K - $120K","Blue",38,25300,2,837,15
"71",715971108,"Existing Customer",51,"M","Graduate","Single","$120K +","Blue",42,34516,3,1550,41
