"","default","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","OCCUPATION_TYPE"
"1",0,"M","N","N",0,292500,909000,"Working","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"2",0,"F","N","Y",1,112500,157500,"Working","Incomplete higher","Married","House / apartment",""
"3",0,"F","N","N",0,157500,375408,"Working","Secondary / secondary special","Married","With parents","Core staff"
"4",0,"F","N","Y",0,202500,679500,"Commercial associate","Secondary / secondary special","Married","House / apartment","Managers"
"5",0,"M","N","Y",0,270000,540000,"Commercial associate","Higher education","Single / not married","House / apartment",""
"6",0,"F","N","Y",0,108000,640080,"Working","Secondary / secondary special","Married","Municipal apartment","High skill tech staff"
"7",0,"M","N","Y",0,292500,619254,"Commercial associate","Higher education","Civil marriage","House / apartment","Laborers"
"8",0,"M","Y","Y",0,202500,582768,"State servant","Secondary / secondary special","Single / not married","House / apartment","Core staff"
"9",0,"F","Y","Y",0,139500,533668.5,"Working","Secondary / secondary special","Widow","House / apartment","Sales staff"
"10",0,"F","Y","Y",0,157500,238716,"Working","Higher education","Single / not married","House / apartment","Sales staff"
"11",0,"M","N","Y",0,180000,436032,"Working","Secondary / secondary special","Separated","House / apartment","Laborers"
"12",0,"F","N","N",1,90000,675000,"Working","Secondary / secondary special","Married","House / apartment","Private service staff"
"13",0,"M","Y","Y",0,202500,405000,"Working","Higher education","Single / not married","House / apartment",""
"14",0,"F","Y","Y",0,90000,485086.5,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"15",0,"F","N","Y",0,247500,755190,"Working","Secondary / secondary special","Married","House / apartment","Core staff"
"16",0,"F","Y","Y",0,180000,1035832.5,"Working","Secondary / secondary special","Married","House / apartment","Core staff"
"17",0,"F","N","Y",0,157500,1002870,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",""
"18",0,"F","N","N",0,103500,152820,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"19",0,"M","N","N",0,180000,521280,"Pensioner","Higher education","Married","House / apartment",""
"20",0,"F","N","Y",0,135000,348264,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"21",0,"F","Y","N",0,171000,1872517.5,"Working","Secondary / secondary special","Separated","House / apartment","Core staff"
"22",0,"F","N","Y",0,54000,66222,"Working","Secondary / secondary special","Civil marriage","House / apartment","Cleaning staff"
"23",0,"F","N","Y",0,63000,125136,"Working","Secondary / secondary special","Single / not married","Municipal apartment","High skill tech staff"
"24",0,"M","N","Y",0,112500,343377,"Working","Secondary / secondary special","Civil marriage","House / apartment","Cooking staff"
"25",0,"F","Y","Y",0,157500,1467612,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"26",0,"F","N","Y",2,144000,612000,"Working","Secondary / secondary special","Married","House / apartment",""
"27",0,"F","N","N",0,189000,1350000,"Working","Secondary / secondary special","Separated","House / apartment","Accountants"
"28",0,"M","Y","Y",0,171000,552028.5,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"29",0,"M","N","N",0,121500,189621,"Working","Higher education","Single / not married","With parents","High skill tech staff"
"30",0,"F","N","N",0,157500,450000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment","High skill tech staff"
"31",0,"F","N","N",0,112500,675000,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"32",0,"F","Y","Y",1,355500,521280,"Commercial associate","Secondary / secondary special","Married","House / apartment","Accountants"
"33",0,"F","N","Y",0,81000,942300,"Working","Secondary / secondary special","Widow","House / apartment","Laborers"
"34",0,"M","Y","N",0,450000,675000,"Working","Higher education","Married","House / apartment","Managers"
"35",0,"F","N","Y",0,247500,450441,"Working","Secondary / secondary special","Single / not married","House / apartment","Sales staff"
"36",0,"F","N","N",0,135000,1125000,"Commercial associate","Secondary / secondary special","Married","House / apartment","Sales staff"
"37",0,"M","Y","N",0,180000,614574,"Working","Higher education","Single / not married","With parents","Drivers"
"38",0,"F","N","Y",0,67500,101880,"Commercial associate","Higher education","Separated","House / apartment","Core staff"
"39",0,"F","N","Y",0,180000,110331,"Pensioner","Higher education","Married","House / apartment",""
"40",0,"M","Y","Y",0,67500,545040,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"41",0,"F","N","Y",2,247500,1223010,"Working","Higher education","Separated","House / apartment","Medicine staff"
"42",0,"F","N","Y",0,202500,9e+05,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"43",0,"M","Y","Y",0,171000,522814.5,"Working","Secondary / secondary special","Married","Municipal apartment","High skill tech staff"
"44",0,"F","N","Y",0,166500,835380,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"45",0,"M","Y","Y",1,180000,1006920,"Working","Higher education","Married","With parents","Laborers"
"46",0,"F","N","Y",0,112500,193500,"Pensioner","Secondary / secondary special","Widow","House / apartment",""
"47",0,"F","N","Y",0,112500,1078200,"Working","Secondary / secondary special","Civil marriage","House / apartment",""
"48",0,"M","N","Y",0,270000,993082.5,"State servant","Higher education","Married","House / apartment",""
"49",0,"F","N","Y",0,135000,450000,"Commercial associate","Higher education","Married","House / apartment","Accountants"
"50",0,"F","N","Y",0,121500,119925,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",""
"51",0,"F","Y","Y",0,112500,882000,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"52",0,"F","N","N",0,427500,594121.5,"Working","Incomplete higher","Married","Municipal apartment",""
"53",0,"F","N","N",1,117000,675000,"Working","Higher education","Married","House / apartment","Secretaries"
"54",0,"F","Y","Y",0,112500,545040,"Working","Higher education","Married","House / apartment","Sales staff"
"55",0,"F","Y","N",0,121500,225000,"Working","Incomplete higher","Single / not married","House / apartment","Cooking staff"
"56",0,"F","N","Y",0,315000,2013840,"Working","Higher education","Married","House / apartment","High skill tech staff"
