"","ID","Delivery_person_ID","Delivery_person_Age","Delivery_person_Ratings","Restaurant_latitude","Restaurant_longitude","Delivery_location_latitude","Delivery_location_longitude","Order_Date","Time_Orderd","Time_Order_picked","Weather","Road_traffic_density","Vehicle_condition","Type_of_order","Type_of_vehicle","multiple_deliveries","Festival","City"
"1",8984,"COIMBRES13DEL01",NA,NA,11.003669,76.976494,11.043669,77.016494,"30-03-2022","NaN","15:05",NA,NA,3,"Drinks","Motorcycle",1,1,"Metro"
"2",13428,"BANGRES15DEL01",28,4.6,12.975377,77.696664,13.085377,77.806664,"29-03-2022","20:30","20:35",NA,"Jam",0,"Snack","Scooter",1,1,"Metro"
"3",37920,"JAPRES09DEL03",23,4.5,26.911378,75.789034,27.001378,75.879034,"10/3/2022","19:35","19:45","Temporale","Jam",0,"Drinks","Scooter",1,1,"Metro"
"4",29422,"JAPRES07DEL03",21,4.8,26.766536,75.837333,26.856536,75.927333,"2/4/2022","17:15","17:20","Nebbia","Medium",1,"Meal",NA,1,1,"Metro"
"5",42841,"CHENRES19DEL01",31,4.6,12.986047,80.218114,13.096047,80.328114,"27-03-2022","18:25","18:40","Soleggiato","Medium",2,"Drinks",NA,1,1,"Metro"
"6",50351,"GOARES04DEL01",26,4.7,15.5696,73.742294,15.5796,73.752294,"15-02-2022","9:45","9:55","Nebbia","Low",0,"Drinks","Scooter",1,1,"Metro"
"7",15261,"BANGRES19DEL02",23,4.8,12.914264,77.6784,12.934264,77.6984,"1/4/2022","0.416666667","10:05",NA,"Low",2,"Buffet",NA,0,1,NA
"8",56642,"KOLRES06DEL02",26,4.8,22.533662,88.366217,22.583662,88.416217,"13-02-2022","0.75","18:05",NA,"Medium",0,"Meal","Scooter",1,1,"Metro"
"9",34603,"MYSRES05DEL03",35,4.9,12.323978,76.627961,12.413978,76.717961,"2/3/2022","21:30","21:45","Nuvoloso","Jam",2,"Snack",NA,1,1,"Metro"
"10",24577,"HYDRES04DEL03",23,4.9,17.411028,78.329645,17.441028,78.359645,"5/4/2022","20:45","20:55","Nebbia","Jam",1,"Meal","Scooter",0,1,"Metro"
"11",55365,"KOCRES09DEL01",24,4.8,10.000706,76.349516,10.040706,76.389516,"17-02-2022","14:35","14:40","Temporale","High",2,"Snack","Scooter",1,1,"Metro"
"12",18758,"VADRES04DEL01",22,4.6,0,0,0.11,0.11,"8/3/2022","23:40","23:50",NA,"Low",1,"Drinks",NA,NA,1,NA
"13",17816,"RANCHIRES14DEL03",35,4.8,0,0,0.06,0.06,"1/4/2022","22:15","22:25","Soleggiato","Low",2,"Snack",NA,0,1,"Metro"
"14",48465,"BANGRES11DEL01",33,4.8,12.934365,77.616155,13.044365,77.726155,"16-03-2022","23:40","23:55",NA,"Low",2,"Drinks","Motorcycle",0,1,NA
"15",29676,"RANCHIRES010DEL03",36,4.6,23.354422,85.3329,23.414422,85.3929,"17-03-2022","21:30","21:40","Nebbia","Jam",1,"Meal",NA,0,1,"Metro"
"16",23719,"HYDRES19DEL03",34,4.6,17.458998,78.500366,17.488998,78.530366,"1/4/2022","20:35","20:50","Nuvoloso","Jam",2,"Snack","Motorcycle",0,1,"Metro"
"17",40870,"COIMBRES03DEL03",38,4.2,11.025083,77.015393,11.055083,77.045393,"15-03-2022","20:30","20:35",NA,"Jam",2,"Buffet","Scooter",1,1,"Metro"
"18",37198,"HYDRES12DEL02",34,4.6,17.429585,78.392621,17.559585,78.522621,"14-03-2022","21:55","22:10","Soleggiato","Jam",2,"Snack",NA,0,1,"Metro"
"19",14053,"CHENRES20DEL03",37,4.7,12.975996,80.221898,13.005996,80.251898,"24-03-2022","18:35","18:50","Nuvoloso","Medium",2,"Snack",NA,0,1,"Metro"
"20",55342,"KOCRES09DEL02",21,4.5,10.000706,76.349516,10.130706,76.479516,"16-02-2022","21:20","21:25","Temporale","Jam",1,"Drinks",NA,1,1,NA
"21",7667,"JAPRES20DEL03",28,2.7,26.956431,75.776649,27.046431,75.866649,"4/3/2022","22:10","22:20","Soleggiato","Low",1,"Meal",NA,1,1,"Metro"
"22",2661,"PUNERES03DEL02",31,4.7,18.554382,73.798206,18.604382,73.848206,"9/3/2022","21:55","0.916666667","Nuvoloso","Jam",0,"Buffet","Scooter",1,1,"Metro"
"23",35715,"BANGRES13DEL03",37,4.5,12.935662,77.61413,12.995662,77.67413,"1/4/2022","20:20","20:25","Soleggiato","Jam",0,"Drinks","Scooter",1,1,NA
"24",23445,"HYDRES12DEL03",38,4.6,17.429585,78.392621,17.459585,78.422621,"17-03-2022","18:35","18:45","Tempesta di sabbia","Medium",2,"Meal",NA,0,1,NA
"25",43587,"COIMBRES05DEL02",30,5,11.022169,76.999594,11.042169,77.019594,"5/3/2022","0.5","12:15","Temporale","High",2,"Meal",NA,0,1,NA
"26",39317,"HYDRES18DEL03",22,4.8,17.450851,78.379347,17.510851,78.439347,"19-03-2022","20:30","20:40","Nebbia","Jam",0,"Snack","Scooter",1,1,"Metro"
"27",4120,"INDORES20DEL02",38,4.7,22.732225,75.874765,22.782225,75.924765,"13-03-2022","20:20","20:30",NA,"Jam",0,"Drinks","Scooter",1,1,NA
"28",19187,"HYDRES08DEL03",38,4.6,17.438263,78.397865,17.468263,78.427865,"9/3/2022","0.791666667","19:10","Nebbia","Medium",2,"Snack","Scooter",0,1,NA
"29",34721,"MYSRES03DEL01",29,4.7,12.299524,76.64262,12.309524,76.65262,"1/4/2022","8:25","8:30","Nebbia","Low",0,"Meal","Scooter",0,1,"Metro"
"30",46668,"COIMBRES01DEL02",21,4.7,11.016298,76.972076,11.036298,76.992076,"30-03-2022","9:55","0.416666667","Nuvoloso","Low",2,"Snack",NA,0,1,NA
"31",19326,"COIMBRES17DEL02",20,5,11.026117,76.944652,11.156117,77.074652,"8/3/2022","1","24:15:00",NA,"Low",1,"Buffet",NA,0,1,"Metro"
"32",9517,"SURRES03DEL01",22,4.3,21.186884,72.793616,21.196884,72.803616,"24-03-2022","9:35","9:40",NA,"Low",0,"Drinks","Scooter",1,1,NA
"33",13966,"SURRES11DEL02",23,4.7,21.157735,72.768778,21.177735,72.788778,"5/3/2022","8:25","8:30","Soleggiato","Low",1,"Meal",NA,1,1,NA
"34",3593,"CHENRES08DEL03",29,4.7,13.022394,80.242439,13.052394,80.272439,"7/3/2022","19:15","19:20","Temporale","Jam",1,"Meal",NA,0,1,"Metro"
"35",14762,"RANCHIRES09DEL02",36,4.7,23.351058,85.325731,23.431058,85.405731,"10/3/2022","19:15","19:30","Tempesta di sabbia","Jam",2,"Snack","Motorcycle",1,1,NA
"36",46402,"RANCHIRES19DEL02",39,3.8,23.333017,85.3172,23.463017,85.4472,"16-03-2022","18:20","18:35",NA,"Medium",2,"Meal","Scooter",0,1,"Metro"
"37",30212,"JAPRES02DEL02",20,4.6,26.914142,75.805704,26.964142,75.855704,"1/4/2022","18:35","18:40","Nebbia","Medium",1,"Meal","Scooter",1,1,NA
"38",22908,"COIMBRES12DEL02",31,4.1,11.000762,76.981876,11.130762,77.111876,"14-03-2022","0.791666667","19:05","Tempesta di sabbia","Medium",0,"Buffet","Scooter",2,1,"Metro"
"39",6223,"COIMBRES05DEL01",39,4.7,11.022169,76.999594,11.032169,77.009594,"5/4/2022","8:55","9:10","Soleggiato","Low",2,"Snack",NA,1,1,NA
"40",37954,"HYDRES09DEL01",26,4.7,17.431668,78.408321,17.471668,78.448321,"5/4/2022","14:55","15:10",NA,"High",0,"Snack","Scooter",1,1,"Metro"
"41",2126,"SURRES04DEL02",20,4.8,21.173493,72.801953,21.193493,72.821953,"3/4/2022","11:20","11:35","Temporale","High",2,"Drinks","Scooter",1,1,"Metro"
"42",42682,"HYDRES01DEL03",35,4.7,17.410371,78.437225,17.440371,78.467225,"9/3/2022","19:45","0.833333333","Nuvoloso","Jam",1,"Buffet",NA,1,1,"Metro"
"43",46699,"INDORES01DEL03",26,4.9,22.695207,75.866059,22.755207,75.926059,"11/3/2022","19:25","19:35",NA,"Jam",1,"Drinks","Scooter",1,1,NA
"44",2491,"VADRES16DEL01",23,4.4,0,0,0.01,0.01,"24-03-2022","10:20","10:30",NA,"Low",0,"Snack","Scooter",0,1,"Metro"
