"","Year_Birth","Marital_Status","Income","Kidhome","Teenhome","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","Response"
"1",1957,"Single",58138,0,0,635,88,546,172,88,88,1
"2",1954,"Single",46344,1,1,11,1,6,2,1,6,0
"3",1965,"Together",71613,0,0,426,49,127,111,21,42,0
"4",1984,"Together",26646,1,0,11,4,20,10,3,5,0
"5",1981,"Married",58293,1,0,173,43,118,46,27,15,0
"6",1967,"Together",62513,0,1,520,42,98,0,42,14,0
"7",1971,"Divorced",55635,0,1,235,65,164,50,49,27,0
"8",1985,"Married",33454,1,0,76,10,56,3,1,23,0
"9",1974,"Together",30351,1,0,14,0,24,3,3,2,1
"10",1950,"Together",5648,1,1,28,0,6,1,1,13,0
"11",1976,"Married",7500,0,0,6,16,11,11,1,16,0
"12",1959,"Divorced",63033,0,0,194,61,480,225,112,30,0
"13",1952,"Divorced",59354,1,1,233,2,53,3,5,14,0
"14",1987,"Married",17323,0,0,3,14,17,6,1,5,0
"15",1946,"Single",82800,0,0,1006,22,115,59,68,45,1
"16",1980,"Married",41850,1,1,53,5,19,2,13,4,0
"17",1946,"Together",37760,0,0,84,5,38,150,12,28,0
"18",1949,"Married",76995,0,1,1012,80,498,0,16,176,0
"19",1985,"Single",33812,1,0,4,17,19,30,24,39,0
"20",1982,"Married",37040,0,0,86,2,73,69,38,48,0
"21",1979,"Married",2447,1,0,1,1,1725,1,1,1,0
"22",1949,"Married",58607,0,1,867,0,86,0,0,19,0
"23",1954,"Married",65324,0,1,384,0,102,21,32,5,0
"24",1951,"Together",40689,0,1,270,3,27,39,6,99,0
"25",1969,"Single",18589,0,0,6,4,25,15,12,13,0
"26",1976,"Married",53359,1,1,173,4,30,3,6,41,0
"27",1989,"Married",38360,1,0,36,2,42,20,21,10,0
"28",1965,"Married",84618,0,0,684,100,801,21,66,0,0
"29",1989,"Divorced",10979,0,0,8,4,10,2,2,4,0
"30",1963,"Together",38620,0,0,112,17,44,34,22,89,0
"31",1970,"Together",40548,0,1,110,0,5,2,0,3,0
"32",1952,"Divorced",46610,0,2,96,12,96,33,22,43,1
"33",1946,"Married",68657,0,0,482,34,471,119,68,22,0
"34",1951,"Single",49389,1,1,40,0,19,2,1,3,0
"35",1970,"Married",67353,0,1,702,17,151,0,8,35,0
"36",1976,"Married",23718,1,0,6,3,14,15,7,36,0
"37",1973,"Widow",42429,0,1,55,0,6,2,0,4,0
"38",1943,"Divorced",48948,0,0,437,8,206,160,49,42,1
"39",1980,"Married",80011,0,1,421,76,536,82,178,102,0
"40",1985,"Married",20559,1,0,13,1,29,3,0,7,0
"41",1957,"Together",21994,0,1,9,0,6,3,1,3,0
"42",1975,"Married",7500,1,0,3,1,10,3,2,12,0
