"id_spedizione","modalita_spedizione","valutazione_cliente","costo_prodotto","acquisti_precedenti","importanza_prodotto","genere","sconto_offerto","peso_grammi","consegna_puntuale"
1,"Aereo",2,177,3,"bassa","Femmina",44,1233,"Si"
2,"Aereo",5,216,2,"bassa","Maschio",59,3088,"Si"
3,"Aereo",2,183,4,"bassa","Maschio",48,3374,"Si"
4,"Aereo",3,176,4,"media","Maschio",10,1177,"Si"
5,"Aereo",2,184,3,"media","Femmina",46,2484,"Si"
6,"Aereo",1,162,3,"media","Femmina",12,1417,"Si"
7,"Aereo",4,250,3,"bassa","Femmina",3,2371,"Si"
8,"Aereo",1,233,2,"bassa","Femmina",48,2804,"Si"
9,"Aereo",4,150,3,"bassa","Femmina",11,1861,"Si"
10,"Aereo",2,164,3,"media","Femmina",29,1187,"Si"
11,"Aereo",4,189,2,"media","Maschio",12,2888,"Si"
12,"Aereo",5,232,3,"media","Femmina",32,3253,"Si"
13,"Aereo",5,198,3,"media","Femmina",1,3667,"Si"
14,"Aereo",4,275,3,"alta","Maschio",29,2602,"Si"
15,"Aereo",3,152,3,"bassa","Maschio",43,1009,"Si"
16,"Aereo",3,227,3,"bassa","Femmina",45,2707,"Si"
17,"Aereo",4,143,2,"media","Femmina",6,1194,"Si"
18,"Nave",5,227,3,"media","Maschio",36,3952,"Si"
19,"Nave",5,239,3,"alta","Maschio",18,2495,"Si"
20,"Nave",5,145,3,"media","Maschio",45,1059,"Si"
21,"Nave",3,161,2,"media","Femmina",38,1521,"Si"
22,"Nave",1,232,4,"media","Femmina",51,2899,"Si"
23,"Nave",5,156,2,"bassa","Maschio",2,1750,"Si"
24,"Nave",3,211,3,"alta","Maschio",12,3922,"Si"
25,"Nave",5,251,2,"media","Femmina",28,3561,"Si"
26,"Nave",1,225,4,"bassa","Maschio",29,3496,"Si"
27,"Nave",1,172,3,"alta","Femmina",24,1066,"Si"
28,"Nave",1,162,3,"media","Maschio",31,1435,"Si"
29,"Nave",3,234,4,"bassa","Maschio",44,3134,"Si"
30,"Nave",4,183,2,"bassa","Femmina",36,3819,"Si"
31,"Nave",4,266,2,"media","Femmina",38,2741,"Si"
32,"Nave",3,257,2,"bassa","Femmina",61,3341,"Si"
33,"Nave",1,223,3,"bassa","Femmina",22,3795,"Si"
34,"Nave",2,234,3,"media","Maschio",4,3261,"Si"
35,"Nave",2,227,4,"media","Femmina",22,2460,"Si"
36,"Nave",4,149,3,"media","Femmina",44,1811,"Si"
37,"Nave",5,137,4,"alta","Femmina",62,1477,"Si"
38,"Nave",4,181,6,"media","Femmina",16,3605,"Si"
39,"Nave",1,215,4,"bassa","Femmina",56,3905,"Si"
40,"Nave",2,269,5,"bassa","Femmina",45,2383,"Si"
41,"Nave",1,227,2,"bassa","Maschio",15,3798,"Si"
42,"Nave",5,139,4,"media","Maschio",61,1265,"Si"
43,"Nave",5,137,2,"media","Maschio",38,1647,"Si"
44,"Nave",1,174,2,"bassa","Maschio",44,1556,"Si"
45,"Nave",1,151,2,"bassa","Maschio",29,1328,"Si"
46,"Nave",1,210,3,"bassa","Femmina",9,2944,"Si"
47,"Nave",4,169,4,"media","Femmina",32,1245,"Si"
48,"Nave",1,160,2,"bassa","Maschio",32,1576,"Si"
49,"Nave",4,190,2,"media","Maschio",9,3753,"Si"
50,"Nave",3,216,3,"bassa","Femmina",40,2146,"Si"
51,"Nave",1,183,3,"bassa","Maschio",37,2042,"Si"
52,"Nave",4,141,3,"bassa","Maschio",22,1735,"Si"
53,"Nave",3,165,3,"bassa","Femmina",44,1320,"Si"
54,"Nave",1,170,3,"bassa","Maschio",41,1128,"Si"
55,"Nave",3,203,3,"alta","Maschio",12,3539,"Si"
56,"Nave",5,246,5,"bassa","Maschio",46,2437,"Si"
57,"Nave",3,238,3,"bassa","Femmina",61,3096,"Si"
58,"Nave",3,193,3,"media","Femmina",29,3453,"Si"
59,"Nave",5,141,3,"alta","Maschio",41,1367,"Si"
60,"Nave",1,150,3,"alta","Femmina",17,1923,"Si"
61,"Nave",1,221,3,"bassa","Femmina",64,2794,"Si"
62,"Nave",3,179,3,"media","Maschio",52,1158,"Si"
63,"Nave",1,105,6,"media","Maschio",62,1292,"Si"
64,"Nave",1,177,3,"media","Maschio",61,1880,"Si"
65,"Nave",5,261,2,"alta","Maschio",49,3045,"Si"
66,"Nave",2,202,3,"bassa","Maschio",49,2881,"Si"
67,"Nave",2,109,3,"media","Femmina",15,1710,"Si"
68,"Nave",3,158,3,"bassa","Femmina",6,1878,"Si"
69,"Nave",2,231,4,"media","Femmina",6,2512,"Si"
70,"Nave",5,206,3,"media","Maschio",39,2929,"Si"
71,"Nave",1,187,4,"alta","Maschio",14,3849,"Si"
72,"Nave",5,230,2,"bassa","Femmina",2,2229,"Si"
73,"Nave",5,232,3,"media","Femmina",33,2998,"Si"
74,"Nave",5,215,3,"media","Femmina",21,3984,"Si"
75,"Nave",1,238,6,"bassa","Femmina",13,2442,"Si"
76,"Nave",1,266,3,"bassa","Femmina",23,3775,"Si"
77,"Nave",3,158,2,"media","Femmina",36,1788,"Si"
78,"Nave",3,113,3,"bassa","Femmina",43,1518,"Si"
79,"Nave",4,223,3,"bassa","Maschio",18,3959,"Si"
80,"Nave",5,257,2,"media","Femmina",56,3711,"Si"
81,"Nave",4,180,2,"media","Femmina",49,1942,"Si"
82,"Nave",5,132,3,"bassa","Maschio",18,1759,"Si"
83,"Nave",4,217,3,"alta","Femmina",26,2875,"Si"
84,"Nave",5,162,3,"alta","Femmina",31,1364,"Si"
85,"Nave",5,197,2,"media","Femmina",40,2710,"Si"
